year,manufacturer,make,make/model,thefts,production,rate,type
2007,HUMMER,HUMMER,H3,95,46341,2.05,MPV
2005,GENERAL MOTORS,PONTIAC,G6,128,62481,2.05,Car
2005,NISSAN,NISSAN,xterra,113,55179,2.05,MPV
2010,NISSAN,NISSAN,versa,162,79164,2.05,Car
2006,TOYOTA,TOYOTA,CAMRY SOLARA,517,252690,2.05,Car
2010,CHRYSLER,DODGE,CHALLENGER,106,51812,2.05,Car
2007,NISSAN,NISSAN,altima,413,202162,2.04,Car
2011,MAZDA,MAZDA,6,52,0,2.04,Car
2009,TOYOTA,TOYOTA,avalon,45,22030,2.04,Car
2006,JAGUAR,JAGUAR,s-type,14,6855,2.04,Car
2014,BMW,BMW,6,15,7346,2.04,Car
2014,NISSAN,INFINITI,Q50/Q60,117,57334,2.04,Car
2012,NISSAN,INFINITI,M35h/M37/M56,28,13731,2.04,Car
2005,KIA,KIA,sedona van,156,76527,2.04,MPV
2007,SUZUKI,SUZUKI,reno,62,30424,2.04,MPV
2007,FORD MOTOR CO,MERCURY,GRAND MARQUIS,81,39757,2.04,Car
2014,NISSAN,NISSAN,cube,7,3436,2.04,Car
2006,AUDI,AUDI,A8,11,5404,2.04,Car
2012,BMW,BMW,b7,1,492,2.03,Car
2014,GENERAL MOTORS,CHEVROLET,MALIBU,317,156086,2.03,Car
2013,KIA,KIA,forte,108,53267,2.03,Car
2007,JAGUAR,JAGUAR,xk8,6,2965,2.02,Car
2006,BMW,BMW,m6,2,990,2.02,Car
2014,KIA,KIA,optima,222,109954,2.02,Car
2013,BMW,BMW,z4,4,1982,2.02,Car
2005,FORD MOTOR CO,FORD,RANGER PICKUP,209,103723,2.01,Truck
2007,KIA,KIA,sorento,64,31798,2.01,MPV
2011,GENERAL MOTORS,CHEVROLET,CAMARO,196,0,2.01,Car
2007,MAZDA,MAZDA,5,33,16424,2.01,Car
2005,VOLKSWAGEN,VOLKSWAGEN,golf/gti,29,14447,2.01,Car
2008,KIA,KIA,rondo,47,23441,2.01,Car
2013,KIA,KIA,optima,346,172977,2.00,Car
2005,HONDA,HONDA,civic,577,288917,2.00,Car
2005,KIA,KIA,sorento,114,57272,1.99,MPV
2009,NISSAN,NISSAN,350z,1,503,1.99,Car
2006,DAIMLERCHRYSLER,JEEP,WRANGLER,155,77976,1.99,MPV
2009,VOLVO,VOLVO,C 70,8,4027,1.99,Car
2014,KIA,KIA,forte,174,87825,1.98,Car
2012,NISSAN,NISSAN,maxima,129,65150,1.98,Car
2012,MAZDA,MAZDA,2,32,16169,1.98,Car
2011,MERCEDES-BENZ,MERCEDES-BENZ,s-class,19,0,1.97,Car
2007,GENERAL MOTORS,SATURN,ION,185,94117,1.97,Car
2008,CHRYSLER,JEEP,GRAND CHEROKEE,123,62654,1.96,MPV
2013,AUDI,AUDI,A7,13,6626,1.96,Car
